Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-07-16 21:26:57,,UTC-04:00,65,62,73,34.60,95.77,,,,,2025-07-16 21:26:57,2025-07-17 07:17:37,74,18.0,514,590,320,95,99,76,562,127,87,36
2025-07-16 01:25:22,2025-07-16 21:26:57,UTC-04:00,25,65,89,35.03,95.88,5.9,2223,153,76,2025-07-16 01:25:22,2025-07-16 06:03:31,17,19.2,188,269,77,86,25,81,587,104,70,65
2025-07-15 02:08:20,2025-07-16 01:25:22,UTC-04:00,34,61,51,33.55,96.09,11.6,2889,176,77,2025-07-15 02:08:20,2025-07-15 07:54:53,73,18.2,319,346,150,97,72,27,528,61,92,72
2025-07-14 01:30:02,2025-07-15 02:08:20,UTC-04:00,57,58,64,34.67,96.14,4.2,2606,128,65,2025-07-14 01:30:02,2025-07-14 08:01:44,80,18.4,350,382,163,111,76,32,473,4,91,67
2025-07-13 01:44:32,2025-07-14 01:30:02,UTC-04:00,84,65,92,34.80,94.42,6.0,2624,152,71,2025-07-13 01:44:32,2025-07-13 10:35:11,80,19.0,469,530,295,91,83,61,477,0,88,57
2025-07-11 23:59:36,2025-07-13 01:44:32,UTC-04:00,59,62,62,34.40,96.73,10.1,3095,162,78,2025-07-11 23:59:36,2025-07-12 09:34:00,82,18.6,477,571,270,100,107,94,477,0,83,73
2025-07-10 22:22:21,2025-07-11 23:59:36,UTC-04:00,35,62,48,34.86,95.56,10.0,3043,182,73,2025-07-10 22:22:21,2025-07-11 08:28:59,94,18.1,519,606,261,97,161,87,481,0,89,83
2025-07-09 23:29:55,2025-07-10 22:22:21,UTC-04:00,53,61,61,34.90,93.83,11.3,2441,147,70,2025-07-09 23:29:55,2025-07-10 08:09:21,89,18.3,481,519,241,101,139,38,470,0,93,76
2025-07-08 22:37:03,2025-07-09 23:29:55,UTC-04:00,31,63,48,34.99,96.07,6.7,2418,149,72,2025-07-08 22:37:03,2025-07-09 09:50:06,80,18.4,563,673,302,115,146,110,538,50,83,69
2025-07-07 22:31:46,2025-07-08 22:37:03,UTC-04:00,36,62,54,35.00,95.20,12.7,3213,171,75,2025-07-07 22:31:46,2025-07-08 07:13:27,85,19.0,442,501,258,130,54,59,521,39,88,83
2025-07-06 22:21:53,2025-07-07 22:31:46,UTC-04:00,69,62,82,35.40,95.39,11.4,2729,146,72,2025-07-06 22:21:53,2025-07-07 07:45:17,84,19.2,506,556,195,143,168,50,568,96,91,74
2025-07-05 22:55:21,2025-07-06 22:21:53,UTC-04:00,89,65,103,34.89,96.29,7.7,2684,147,74,2025-07-05 22:55:21,2025-07-06 06:47:50,76,18.8,401,472,181,110,110,71,594,80,85,71
2025-07-04 23:52:54,2025-07-05 22:55:21,UTC-04:00,83,68,92,34.50,95.68,16.8,4247,165,89,2025-07-04 23:52:54,2025-07-05 08:24:19,79,18.4,450,510,298,67,85,60,575,83,88,73
2025-07-03 23:46:14,2025-07-04 23:52:54,UTC-04:00,60,64,66,34.50,93.57,13.4,3295,153,86,2025-07-03 23:46:14,2025-07-04 06:44:54,79,18.9,393,418,157,132,104,25,523,109,94,65
2025-07-03 00:39:47,2025-07-03 23:46:14,UTC-04:00,38,60,52,34.88,93.64,5.7,2494,135,72,2025-07-03 00:39:47,2025-07-03 07:40:22,81,18.7,388,417,202,112,74,29,558,88,93,75
2025-07-02 00:19:09,2025-07-03 00:39:47,UTC-04:00,88,60,92,35.20,94.86,6.2,2657,141,73,2025-07-02 00:19:09,2025-07-02 05:59:56,74,19.1,309,340,106,135,68,31,487,10,90,59
2025-06-30 23:37:16,2025-07-02 00:19:09,UTC-04:00,73,54,68,34.60,95.77,9.7,2957,160,73,2025-06-30 23:37:16,2025-07-01 08:55:44,84,18.1,514,550,206,134,174,36,531,96,93,67
2025-06-30 01:03:44,2025-06-30 23:37:16,UTC-04:00,74,62,82,34.70,94.77,4.4,2399,133,68,2025-06-30 01:03:44,2025-06-30 08:01:55,72,18.8,346,412,158,109,79,66,540,63,84,70
2025-06-28 22:45:12,2025-06-30 01:03:44,UTC-04:00,46,56,56,34.37,95.38,9.8,3149,174,72,2025-06-28 22:45:12,2025-06-29 07:58:39,74,17.9,422,553,206,128,88,131,549,69,77,76
2025-06-27 23:41:32,2025-06-28 22:45:12,UTC-04:00,50,60,59,34.68,96.20,10.7,2882,173,73,2025-06-27 23:41:32,2025-06-28 08:36:40,62,18.7,379,535,185,116,78,156,519,69,70,66
2025-06-26 22:46:39,2025-06-27 23:41:32,UTC-04:00,45,58,53,34.80,95.97,7.9,2856,161,70,2025-06-26 22:46:39,2025-06-27 07:29:37,82,19.0,469,521,233,124,112,52,577,106,90,72
2025-06-26 00:06:04,2025-06-26 22:46:39,UTC-04:00,45,55,61,34.28,95.90,7.2,2583,169,69,2025-06-26 00:06:04,2025-06-26 06:04:38,73,18.8,330,350,154,104,72,20,543,75,94,66
2025-06-25 00:19:05,2025-06-26 00:06:04,UTC-04:00,35,58,53,34.34,96.41,4.9,2532,141,68,2025-06-25 00:19:05,2025-06-25 07:54:41,83,18.6,416,455,240,94,82,39,533,6,91,77
2025-06-23 23:30:45,2025-06-25 00:19:05,UTC-04:00,54,58,65,34.31,96.25,18.6,4288,193,77,2025-06-23 23:30:45,2025-06-24 09:21:50,80,18.8,501,591,277,119,105,90,513,19,84,67
2025-06-22 23:15:23,2025-06-23 23:30:45,UTC-04:00,87,57,92,34.30,96.53,13.7,3046,170,74,2025-06-22 23:15:23,2025-06-23 07:50:17,83,18.6,458,514,274,101,83,56,488,68,89,68
2025-06-22 00:43:13,2025-06-22 23:15:23,UTC-04:00,27,64,46,34.50,96.20,11.5,2516,141,74,2025-06-22 00:43:13,2025-06-22 07:30:21,79,19.5,376,403,183,94,99,27,512,68,93,68
2025-06-21 00:16:43,2025-06-22 00:43:13,UTC-04:00,82,58,86,34.40,95.43,8.4,2880,162,72,2025-06-21 00:16:43,2025-06-21 08:00:30,83,18.8,425,459,249,100,76,34,531,32,92,77
2025-06-19 23:09:34,2025-06-21 00:16:43,UTC-04:00,90,57,89,34.68,95.48,14.7,3211,166,73,2025-06-19 23:09:34,2025-06-20 08:46:03,83,18.6,488,562,291,105,92,74,538,38,86,77
2025-06-18 22:54:45,2025-06-19 23:09:34,UTC-04:00,82,59,76,34.70,96.44,14.8,2858,148,73,2025-06-18 22:54:45,2025-06-19 07:44:07,86,18.9,477,527,210,132,135,50,537,69,90,78
2025-06-17 23:13:27,2025-06-18 22:54:45,UTC-04:00,88,62,84,34.62,95.15,4.7,2564,151,65,2025-06-17 23:13:27,2025-06-18 06:52:00,82,18.6,421,455,175,98,148,34,529,38,92,73
2025-06-16 21:54:30,2025-06-17 23:13:27,UTC-04:00,96,59,111,34.80,95.88,13.3,3496,178,72,2025-06-16 21:54:30,2025-06-17 07:16:46,80,18.9,527,562,240,130,157,35,588,96,94,56
2025-06-15 23:43:16,2025-06-16 21:54:30,UTC-04:00,42,59,50,34.81,96.11,13.3,2640,166,74,2025-06-15 23:43:16,2025-06-16 06:18:36,72,19.0,335,365,190,95,50,30,529,44,91,56
2025-06-15 00:35:07,2025-06-15 23:43:16,UTC-04:00,79,58,66,35.00,96.47,11.9,3047,175,69,2025-06-15 00:35:07,2025-06-15 08:34:20,80,19.5,414,479,200,114,100,65,503,33,86,75
2025-06-14 01:36:12,2025-06-15 00:35:07,UTC-04:00,32,65,45,34.76,95.07,6.5,2552,170,73,2025-06-14 01:36:12,2025-06-14 10:16:34,78,19.5,446,520,214,122,110,74,513,31,85,62
2025-06-13 00:27:42,2025-06-14 01:36:12,UTC-04:00,45,60,51,33.70,97.31,11.5,3211,161,78,2025-06-13 00:27:42,2025-06-13 08:29:03,84,19.2,455,481,233,111,111,26,504,0,94,72
2025-06-11 23:15:00,2025-06-13 00:27:42,UTC-04:00,47,60,52,34.60,96.94,15.3,3001,166,71,2025-06-11 23:15:00,2025-06-12 11:24:00,73,18.8,530,729,316,124,90,195,496,0,73,66
