Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-07-16 21:26:57,,UTC-04:00,2025-07-17 17:36:00,2025-07-17 18:42:00,17,15.0,37,66,6,28,3,29,502,30,90,,true
2025-07-16 21:26:57,,UTC-04:00,2025-07-16 21:26:57,2025-07-17 07:17:37,74,18.0,514,590,320,95,99,76,562,127,87,36,false
2025-07-16 01:25:22,2025-07-16 21:26:57,UTC-04:00,2025-07-16 19:20:00,2025-07-16 20:29:00,8,18.9,34,69,8,26,0,35,596,127,62,,true
2025-07-16 01:25:22,2025-07-16 21:26:57,UTC-04:00,2025-07-16 01:25:22,2025-07-16 06:03:31,17,19.2,188,269,77,86,25,81,587,104,70,65,false
2025-07-15 02:08:20,2025-07-16 01:25:22,UTC-04:00,2025-07-15 19:19:00,2025-07-15 20:30:00,5,16.0,34,71,12,22,0,37,577,104,48,,true
2025-07-15 02:08:20,2025-07-16 01:25:22,UTC-04:00,2025-07-15 02:08:20,2025-07-15 07:54:53,73,18.2,319,346,150,97,72,27,528,61,92,72,false
2025-07-14 01:30:02,2025-07-15 02:08:20,UTC-04:00,2025-07-14 01:30:02,2025-07-14 08:01:44,80,18.4,350,382,163,111,76,32,473,4,91,67,false
2025-07-13 01:44:32,2025-07-14 01:30:02,UTC-04:00,2025-07-13 01:44:32,2025-07-13 10:35:11,80,19.0,469,530,295,91,83,61,477,0,88,57,false
2025-07-11 23:59:36,2025-07-13 01:44:32,UTC-04:00,2025-07-11 23:59:36,2025-07-12 09:34:00,82,18.6,477,571,270,100,107,94,477,0,83,73,false
2025-07-10 22:22:21,2025-07-11 23:59:36,UTC-04:00,2025-07-10 22:22:21,2025-07-11 08:28:59,94,18.1,519,606,261,97,161,87,481,0,89,83,false
2025-07-09 23:29:55,2025-07-10 22:22:21,UTC-04:00,2025-07-09 23:29:55,2025-07-10 08:09:21,89,18.3,481,519,241,101,139,38,470,0,93,76,false
2025-07-08 22:37:03,2025-07-09 23:29:55,UTC-04:00,2025-07-08 22:37:03,2025-07-09 09:50:06,80,18.4,563,673,302,115,146,110,538,50,83,69,false
